"SchemaVersion","ServerName","InstanceName","SqlVersion","ProductVersion","Edition","ServicePack","CumulativeUpdate","OsPlatform","OsVersion","LogicalCores","Sockets","CoresPerSocket","PhysicalMemoryGB","MaxServerMemoryGB","AvgCpuPct","PeakCpuPct","UptimeHours","IsFailoverCluster","IsAlwaysOnEnabled","AvailabilityGroupCount","AgentJobCount","LinkedServerCount","HasDatabaseMail","AgentProxyCount","CredentialCount","HasSsisCatalog","HasSsrs","IsReplicationDistributor","LoginCount","TempDbSizeGB","InstanceCollation","DatabaseName","DatabaseState","RecoveryModel","CompatibilityLevel","DbCollation","DatabaseCreateDate","IsReadOnly","IsTdeEncrypted","IsAutoClose","IsAutoShrink","ContainmentType","IsQueryStoreOn","DataSizeGB","LogSizeGB","TotalSizeGB","ReadIops","WriteIops","ThroughputMBps","TableCount","ProcedureCount","HasFileStream","HasFileTable","HasMemoryOptimized","HasClrAssembly","HasFullTextCatalog","HasColumnStoreIndex","HasPartitioning","HasTemporalTable","HasExternalTable","HasCrossDbDependency","HasLinkedSvrDependency","HasServiceBroker","HasChangeDataCapture","HasChangeTracking","IsPublished","IsSubscribed","IsMergePublished","IsInAvailabilityGroup","CollectedAtUtc"
"1.0","DESKTOP-96UGEVR","LOCALDB#700738E7","SQL Server 2019","15.0.4382.1","Express Edition (64-bit)","RTM","CU27","Windows","10.0","8","1","8","31.82","","0","0","0.07","False","False","0","0","0","False","0","0","False","False","False","2","0.02","SQL_Latin1_General_CP1_CI_AS","AdventureOrders","ONLINE","FULL","150","SQL_Latin1_General_CP1_CI_AS","9/11/2026 11:35:45 PM","False","False","False","False","0","False","0.01","0.01","0.02","0","0","0.01","4","1","False","False","False","False","False","True","True","True","False","True","False","True","False","True","False","False","False","False","9/11/2026 11:39:25 PM"
"1.0","DESKTOP-96UGEVR","LOCALDB#700738E7","SQL Server 2019","15.0.4382.1","Express Edition (64-bit)","RTM","CU27","Windows","10.0","8","1","8","31.82","","0","0","0.07","False","False","0","0","0","False","0","0","False","False","False","2","0.02","SQL_Latin1_General_CP1_CI_AS","AdventureRef","ONLINE","SIMPLE","150","SQL_Latin1_General_CP1_CI_AS","9/11/2026 11:36:50 PM","False","False","False","False","0","False","0.01","0.01","0.02","0","0","0.01","1","0","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","9/11/2026 11:39:25 PM"
"1.0","DESKTOP-96UGEVR","LOCALDB#700738E7","SQL Server 2019","15.0.4382.1","Express Edition (64-bit)","RTM","CU27","Windows","10.0","8","1","8","31.82","","0","0","0.07","False","False","0","0","0","False","0","0","False","False","False","2","0.02","SQL_Latin1_General_CP1_CI_AS","EstateTest1","ONLINE","SIMPLE","150","","9/11/2026 1:25:33 PM","False","False","True","False","0","False","0.01","0.01","0.02","","","","1","2","False","False","False","False","False","True","False","False","False","True","False","False","False","True","False","False","False","False","9/11/2026 11:39:25 PM"
"1.0","DESKTOP-96UGEVR","LOCALDB#700738E7","SQL Server 2019","15.0.4382.1","Express Edition (64-bit)","RTM","CU27","Windows","10.0","8","1","8","31.82","","0","0","0.07","False","False","0","0","0","False","0","0","False","False","False","2","0.02","SQL_Latin1_General_CP1_CI_AS","EstateTest2","ONLINE","SIMPLE","150","SQL_Latin1_General_CP1_CI_AS","9/11/2026 1:25:33 PM","False","False","True","False","0","False","0.01","0.01","0.02","0","0","0.01","1","0","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","9/11/2026 11:39:25 PM"
